D10,ORIGIN,TRAITS
01,Repurposed Prisoner,"Firmware Installed, Partial Memories, Possibly Wanted"
02,Vat Grown,"Webbed Digits, Unnatural Eyes"
03,Robot with Synthetic Humanoid Shell,"Heavy, Cold, Confused by Sensations"
04,Hastily Repurposed Cloning Project,"look like many androids, known bodily malfunctions, wish to meet progenitor"
05,Military Attache Creche,"terrifyingly ruthless and tactical, spartan, coldly logical"
06,Simulated Humanoid,"body ages gradually, uncanny valley"
07,Poorly Understood Alien Technology,"idiosyncratic behavior, role confusion, strange dreams"
08,Manchurian Candidate,"sleeper agent, activated to kill or deactivate by codeword, unaware"
09,Bio-Organic Frankenstein,"unnerving scars, patchwork body, fragmented memories"
10,Espionage Simulacrum,"looks like VIP or particular group and hated by them/as them, compulsive note taking, threat/weakness assessment"

